song,year,place_final,points_final,to_country
Is Always Over Now?,1998,9,64,Ireland
Kärleken är,1998,10,53,Sweden
Genesis,1998,11,37,Cyprus
Se Eu Te Pudesse Abraçar,1998,12,36,Portugal
Mere Lapsed,1998,12,36,Estonia
Unutamazsin,1998,14,25,Turkey
Aava,1998,15,22,Finland
¿Qué Voy A Hacer Sin Ti?,1998,16,21,Spain
To Takie Proste,1998,17,19,Poland
Naj Bogovi Sliijo,1998,18,17,Slovenia
Ne Zori Zoro,1998,19,16,North Macedonia
Mia Krifi Evaisthissia,1998,20,12,Greece
Modlitba,1998,21,8,Slovakia
Eu Cred,1998,22,6,Romania
A Holnap Már Ném Lesz Szomorú,1998,23,4,Hungary
Où Aller,1998,24,3,France
Lass Ihn,1998,25,0,Switzerland
Take Me To Your Heaven,1999,1,163,Sweden
All Out Of Luck,1999,2,146,Iceland
Reise Nach Jerusalem - Kudüs'e Seyahat,1999,3,140,Germany
Marija Magdalena,1999,4,118,Croatia
Yom Huledeth,1999,5,93,Israel
Diamond Of Night,1999,6,90,Estonia
Putnici,1999,7,86,Bosnia & Herzegovina
This Time (i Mean It),1999,8,71,Denmark
One Good Reason,1999,8,71,Netherlands
Reflection,1999,10,65,Austria
For A Thousand Years,1999,11,50,Slovenia
Like The Wind,1999,12,38,Belgium
Say It Again,1999,12,38,United Kingdom
Living My Life Without You,1999,14,35,Norway
Believe 'n Peace,1999,15,32,Malta
Dön Artik,1999,16,21,Turkey
When You Need Me,1999,17,18,Ireland
Przytul Mnie Mocno,1999,18,17,Poland
Je Veux Donner Ma Voix,1999,19,14,France
Strazdas,1999,20,13,Lithuania
Como Tudo Começou,1999,21,12,Portugal
Tha'nai Erotas,1999,22,2,Cyprus
No Quiero Escuchar,1999,23,1,Spain
Fly On The Wings Of Love,2000,1,195,Denmark
Solo,2000,2,155,Russia
My Star,2000,3,136,Latvia
Once In A Lifetime,2000,4,98,Estonia
Wadde Hadde Dudde Da,2000,5,96,Germany
Millennium Of Love,2000,6,92,Ireland
When Spirits Are Calling My Name,2000,7,88,Sweden
Desire,2000,8,73,Malta
Kada Zaspu Andeli,2000,9,70,Croatia
Yorgunum Anla,2000,10,59,Turkey
My Heart Goes Boom,2000,11,57,Norway
Tell Me!,2000,12,45,Iceland
No Goodbyes,2000,13,40,Netherlands
All To You,2000,14,34,Austria
100% Te Ljubam,2000,15,29,North Macedonia
Don't Play That Song Again,2000,16,28,United Kingdom
The Moon,2000,17,25,Romania
Colgado De Un Sueño,2000,18,18,Spain
A Little Bit,2000,18,18,Finland
La Vita Cos'è?,2000,20,14,Switzerland
Nomiza,2000,21,8,Cyprus
Sa'me'akh,2000,22,7,Israel
On Aura Le Ciel,2000,23,5,France
Envie De Vivre,2000,24,2,Belgium
Everybody,2001,1,198,Estonia
Never Ever Let You Go,2001,2,177,Denmark
Die For You,2001,3,147,Greece
Je N'ai Que Mon âme,2001,4,142,France
Listen To Your Heartbeat,2001,5,100,Sweden
Dile Que La Quiero,2001,6,76,Spain
Energy,2001,7,70,Slovenia
Wer Liebe Lebt,2001,8,66,Germany
Another Summer Night,2001,9,48,Malta
Strings Of My Heart,2001,10,42,Croatia
Sevgiliye Son,2001,11,41,Turkey
Lady Alpine Blue,2001,12,37,Russia
You Got Style,2001,13,35,Lithuania
Hano,2001,14,29,Bosnia & Herzegovina
No Dream Impossible,2001,15,28,United Kingdom
Ein Davar,2001,16,25,Israel
Só Sei Ser Feliz Assim,2001,17,18,Portugal
Out On My Own,2001,18,16,Netherlands
Too Much,2001,18,16,Latvia
2 Long,2001,20,11,Poland
Without Your Love,2001,21,6,Ireland
Angel,2001,22,3,Iceland
On My Own,2001,22,3,Norway
I Wanna,2002,1,176,Latvia
7th Wonder,2002,2,164,Malta
Come Back,2002,3,111,United Kingdom
Runaway,2002,3,111,Estonia
Il Faut Du Temps,2002,5,104,France
Gimme,2002,6,85,Cyprus
Europe's Living A Celebration,2002,7,81,Spain
Never Let It Go,2002,8,72,Sweden
Tell Me Why,2002,9,71,Romania
Northern Girl,2002,10,55,Russia
Everything I Want,2002,11,44,Croatia
Light A Candle,2002,12,37,Israel
Na Jastuku Za Dvoje,2002,13,33,Bosnia & Herzegovina
Sister,2002,13,33,Belgium
Samo Ljubezen,2002,13,33,Slovenia
Leylaklar Soldu Kalbinde,2002,16,29,Turkey
S.A.G.A.P.O.,2002,17,27,Greece
Say A Word,2002,18,26,Austria
Od Nas Zavisi,2002,19,25,North Macedonia
Addicted To You,2002,20,24,Finland
I Can't Live Without Music,2002,21,17,Germany
Dans Le Jardin De Mon Âme,2002,22,15,Switzerland
Happy You,2002,23,12,Lithuania
Tell Me Who You Are,2002,24,7,Denmark
Everyway That I Can,2003,1,167,Turkey
Sanomi,2003,2,165,Belgium
Ne Ver Ne Boisia,2003,3,164,Russia
I'm Not Afraid To Move On,2003,4,123,Norway
Give Me Your Love,2003,5,107,Sweden
Weil Der Mensch Zählt,2003,6,101,Austria
Keine Grenzen - Zadnych Granic,2003,7,90,Poland
Open Your Heart,2003,8,81,Iceland
Dime,2003,8,81,Spain
Dont Break My Heart,2003,10,73,Romania
We've Got The World,2003,11,53,Ireland
Lets Get Happy,2003,11,53,Germany
One More Night,2003,13,45,Netherlands
Hasta La Vista,2003,14,30,Ukraine
Vie Nisam Tvoja,2003,15,29,Croatia
Ne Brini,2003,16,27,Bosnia & Herzegovina
Never Let You Go,2003,17,25,Greece
Monts Et Merveilles,2003,18,19,France
Words For Love,2003,19,17,Israel
Feeling Alive,2003,20,15,Cyprus
Eighties Coming Back,2003,21,14,Estonia
Deixa-me Sonhar,2003,22,13,Portugal
Nanana,2003,23,7,Slovenia
Hello From Mars,2003,24,5,Latvia
To Dream Again,2003,25,4,Malta
Cry Baby,2003,26,0,United Kingdom
Wild Dances,2004,1,280,Ukraine
Lane Moje,2004,2,263,Serbia & Montenegro
Shake It,2004,3,252,Greece
For Real,2004,4,195,Turkey
Stronger Every Minute,2004,5,170,Cyprus
It Hurts,2004,5,170,Sweden
The Image Of You,2004,7,106,Albania
Can't Wait Until Tonight,2004,8,93,Germany
In The Disco,2004,9,91,Bosnia & Herzegovina
Para Llenarme De Ti,2004,10,87,Spain
Believe Me,2004,11,67,Russia
On Again... Off Again,2004,12,50,Malta
You Are The Only One,2004,12,50,Croatia
Life,2004,14,47,North Macedonia
A Chaque Pas,2004,15,40,France
Hold On To Our Love,2004,16,29,United Kingdom
Love Song,2004,17,27,Poland
I Admit,2004,18,18,Romania
Heaven,2004,19,16,Iceland
Without You,2004,20,11,Netherlands
Du Bist,2004,21,9,Austria
1 Life,2004,22,7,Belgium
If My World Stopped Turning,2004,22,7,Ireland
High,2004,24,3,Norway
My Number One,2005,1,230,Greece
Angel,2005,2,192,Malta
Let Me Try,2005,3,158,Romania
Hasheket Shenish'ar,2005,4,154,Israel
The War Is Not Over,2005,5,153,Latvia
Boonika Bate Doba,2005,6,148,Moldova
Zauvijek Moja,2005,7,137,Serbia & Montenegro
Cool Vibes,2005,8,128,Switzerland
In My Dreams,2005,9,125,Norway
Talking To You,2005,9,125,Denmark
Vukovi Umiru Sami,2005,11,115,Croatia
Forogj Világ,2005,12,97,Hungary
Rimi Rimi Ley,2005,13,92,Turkey
Call Me,2005,14,79,Bosnia & Herzegovina
Nobody Hurt No One,2005,15,57,Russia
Tomorrow I Go,2005,16,53,Albania
Make My Day,2005,17,52,North Macedonia
Ela Ela,2005,18,46,Cyprus
Las Vegas,2005,19,30,Sweden
Razom Nas Bahato,2005,19,30,Ukraine
Brujería,2005,21,28,Spain
Touch My Fire,2005,22,18,United Kingdom
Chacun Pense à Soi,2005,23,11,France
Run & Hide,2005,24,4,Germany
Hard Rock Hallelujah,2006,1,292,Finland
Never Let You Go,2006,2,248,Russia
Lejla,2006,3,229,Bosnia & Herzegovina
Tornero,2006,4,172,Romania
Invincible,2006,5,170,Sweden
We Are The Winners,2006,6,162,Lithuania
Show Me Your Love,2006,7,145,Ukraine
Without Your Love,2006,8,129,Armenia
Everything,2006,9,128,Greece
Every Song Is A Cry For Love,2006,10,93,Ireland
Superstar,2006,11,91,Turkey
Ninanajna,2006,12,56,North Macedonia
Moja tikla,2006,12,56,Croatia
Alvedansen,2006,14,36,Norway
No No Never,2006,14,36,Germany
If We All Give A Little,2006,16,30,Switzerland
I Hear Your Heart,2006,16,30,Latvia
Twist Of Love,2006,18,26,Denmark
Teenage Life,2006,19,25,United Kingdom
Loca,2006,20,22,Moldova
Bloody Mary,2006,21,18,Spain
Il était Temps,2006,22,5,France
Ze Hazman,2006,23,4,Israel
I Do,2006,24,1,Malta
Molitva,2007,1,268,Serbia
Dancing Lasha Tumbai,2007,2,235,Ukraine
Song # 1,2007,3,207,Russia
Shake It Up Shekerim,2007,4,163,Turkey
Water,2007,5,157,Bulgaria
Work Your Magic,2007,6,145,Belarus
Yassou Maria,2007,7,139,Greece
Anytime You Need,2007,8,138,Armenia
Unsubstantial Blues,2007,9,128,Hungary
Fight,2007,10,109,Moldova
Rijeka Bez Imena,2007,11,106,Bosnia & Herzegovina
Visionary Dream,2007,12,97,Georgia
Liubi Liubi I Love You,2007,13,84,Romania
Mojot Svet,2007,14,73,North Macedonia
Cvet Z Juga,2007,15,66,Slovenia
Questa Notte,2007,16,54,Latvia
Leave Me Alone,2007,17,53,Finland
The Worrying Kind,2007,18,51,Sweden
Frauen Regieren Die Welt,2007,19,49,Germany
I Love You Mi Vida,2007,20,43,Spain
Love Or Leave,2007,21,28,Lithuania
L'amour à La Française,2007,22,19,France
Flying The Flag (for You),2007,22,19,United Kingdom
They Can't Stop The Spring,2007,24,5,Ireland
Believe,2008,1,272,Russia
Shady Lady,2008,2,230,Ukraine
Secret Combination,2008,3,218,Greece
Qele Qele,2008,4,199,Armenia
Hold On Be Strong,2008,5,182,Norway
Oro,2008,6,160,Serbia
Deli,2008,7,138,Turkey
Day After Day,2008,8,132,Azerbaijan
The Fire In Your Eyes,2008,9,124,Israel
Pokušaj,2008,10,110,Bosnia & Herzegovina
Peace Will Come,2008,11,83,Georgia
Wolves Of The Sea,2008,12,83,Latvia
Senhora Do Mar (Negras Águas),2008,13,69,Portugal
This Is My Life,2008,14,64,Iceland
All Night Long,2008,15,60,Denmark
Baila El Chiki Chiki,2008,16,55,Spain
Zemrën E Lamë Peng,2008,17,55,Albania
Hero,2008,18,47,Sweden
Divine,2008,19,47,France
Pe-o Margine De Lume,2008,20,45,Romania
Romanca,2008,21,44,Croatia
Missä Miehet Ratsastaa,2008,22,35,Finland
Disappear,2008,23,14,Germany
For Life,2008,24,14,Poland
Even If,2008,25,14,United Kingdom
Fairytale,2009,1,387,Norway
Is It True?,2009,2,218,Iceland
Always,2009,3,207,Azerbaijan
Düm Tek Tek,2009,4,177,Turkey
It's My Time,2009,5,173,United Kingdom
Rändajad,2009,6,129,Estonia
This Is Our Night,2009,7,120,Greece
Et S'il Fallait Le Faire,2009,8,107,France
Bistra Voda,2009,9,106,Bosnia & Herzegovina
Jan Jan,2009,10,92,Armenia
Mamo,2009,11,91,Russia
Be my Valentine! (Anti-crisis Girl),2009,12,76,Ukraine
Believe Again,2009,13,74,Denmark
Hora Din Moldova,2009,14,69,Moldova
Todas As Ruas Do Amor,2009,15,57,Portugal
There Must Be Another Way,2009,16,53,Israel
Carry Me In Your Dreams,2009,17,48,Albania
Lijepa Tena,2009,18,45,Croatia
The Balkan Girls,2009,19,40,Romania
Miss Kiss Kiss Bang,2009,20,35,Germany
La Voix,2009,21,33,Sweden
What If We,2009,22,31,Malta
Love,2009,23,23,Lithuania
La Noche Es Para Mí (The Night Is For Me),2009,24,23,Spain
Lose Control,2009,25,22,Finland
Satellite,2010,1,246,Germany
We Could Be The Same,2010,2,170,Turkey
Playing With Fire,2010,3,162,Romania
In A Moment Like This,2010,4,149,Denmark
Drip Drop,2010,5,145,Azerbaijan
Me And My Guitar,2010,6,143,Belgium
Apricot Stone,2010,7,141,Armenia
OPA,2010,8,140,Greece
Shine,2010,9,136,Georgia
Sweet People,2010,10,108,Ukraine
Lost And Forgotten,2010,11,90,Russia
Allez Olla Olé,2010,12,82,France
Ovo Je Balkan,2010,13,72,Serbia
Milim,2010,14,71,Israel
Algo Pequeñito,2010,15,68,Spain
It's All About You,2010,16,62,Albania
Thunder and Lightning,2010,17,51,Bosnia & Herzegovina
Há Dias Assim,2010,18,43,Portugal
Je Ne Sais Quoi,2010,19,41,Iceland
My Heart Is Yours,2010,20,35,Norway
Life Looks Better In Spring,2010,21,27,Cyprus
Run Away,2010,22,27,Moldova
It's For You,2010,23,25,Ireland
Butterflies,2010,24,18,Belarus
That Sounds Good To Me,2010,25,10,United Kingdom
Running Scared,2011,1,221,Azerbaijan
Madness Of Love,2011,2,189,Italy
Popular,2011,3,185,Sweden
Angel,2011,4,159,Ukraine
New Tomorrow,2011,5,134,Denmark
Love In Rewind,2011,6,125,Bosnia & Herzegovina
Watch My Dance,2011,7,120,Greece
Lipstick,2011,8,119,Ireland
One More Day,2011,9,110,Georgia
Taken By A Stranger,2011,10,107,Germany
I Can,2011,11,100,United Kingdom
So Lucky,2011,12,97,Moldova
No One,2011,13,96,Slovenia
Čaroban,2011,14,85,Serbia
Sognu,2011,15,82,France
Get You,2011,16,77,Russia
Change,2011,17,77,Romania
The Secret Is Love,2011,18,64,Austria
C'est Ma Vie,2011,19,63,Lithuania
Coming Home,2011,20,61,Iceland
Da Da Dam,2011,21,57,Finland
What About My Dreams?,2011,22,53,Hungary
Que Me Quiten Lo Bailao,2011,23,50,Spain
Rockefeller Street,2011,24,44,Estonia
In Love For A While,2011,25,19,Switzerland
Euphoria,2012,1,372,Sweden
Party For Everybody,2012,2,259,Russia
Nije Ljubav Stvar,2012,3,214,Serbia
When The Music Dies,2012,4,150,Azerbaijan
Suus,2012,5,146,Albania
Kuula,2012,6,120,Estonia
Love Me Back,2012,7,112,Turkey
Standing Still,2012,8,110,Germany
