,year,performer,song
439,1983,Corinne Hermès,Si La Vie Est Cadeau
440,1983,Ofra Haza,Hi
441,1983,Carola Häggkvist,Främling
442,1983,Danijel,Dzuli
443,1983,Hoffmann und Hoffmann,Rücksicht
444,1983,Sweet Dreams,I'm Never Giving Up
445,1983,Bernadette,Sing Me A Song
446,1983,Guy Bonnet,Vivre
447,1983,Jahn Teigen,Do Re Mi
448,1983,Westend,Hurricane
449,1983,Riccardo Fogli,Per Lucia
450,1983,Ami Aspelund,Fantasiaa
451,1983,Armando Gama,Esta Balada Que Te Dou
452,1983,Christie Stassinopoulou,Mou Les
453,1983,Mariella Farré,Io Così Non Ci Sto
454,1983,Stavros and Constantina,I Agapi Akoma Zi
455,1983,Gry Johansen,Kloden Drejer
456,1983,Pas de Deux,Rendez-vous
457,1983,Çetin Alp and the Short Wave,Opera
458,1983,Remedios Amaya,¿Quién Maneja Mi Barca?
459,1984,Herrey's,Diggi-loo Diggy-ley
460,1984,Linda Martin,Terminal '3'
461,1984,Bravo,"Lady, Lady"
462,1984,Hot Eyes,Det' Lige Det
463,1984,Jacques Zegers,Avanti La Vie
464,1984,Alice and Battiato,I Treni Di Tozeur
465,1984,Belle and the Devotions,Love Games
466,1984,Annick Thoumazeau,Autant D'amoureux Que D'étoiles
467,1984,Kirka,Hengaillaan
468,1984,Sophie Carle,100% D'amour
469,1984,Maria Guinot,Silêncio E Tanta Gente
470,1984,"Bes Yil Önce, On Yil Sonra",Halay
471,1984,Maribelle,Ik Hou Van Jou
472,1984,Mary Roos,Aufrecht Geh'n
473,1984,Andy Paul,Anna Maria Lena
474,1984,Rainy Day,Welche Farbe Hat Der Sonnenschein
475,1984,Dollie de Luxe,Lenge Leve Livet
476,1984,Vlado and Isolda,Ciao Amore
477,1984,Anita,Einfach Weg
478,1985,Bobbysocks,La Det Swinge
479,1985,Wind,Für Alle
480,1985,Kikki Danielsson,Bra Vibrationer
481,1985,Vikki,Love Is...
482,1985,Izhar Cohen,Olé Olé
483,1985,Maria Christian,Wait Until The Weekend Comes
484,1985,Al Bano and Romina Power,"Magic, Oh Magic"
485,1985,Gary Lux,Kinder Dieser Welt
486,1985,Sonja Lumme,Eläköön Elämä
487,1985,Roger Bens,Femme Dans Ses Rêves Aussi
488,1985,Hot Eyes,Sku' Du Spør Fra No'n
489,1985,Mariella Farré and Pino Gasparini,Piano Piano
490,1985,"Margo, Franck, Diane, Ireen, Malcolm & Chris","Children, Kinder, Enfants"
491,1985,Paloma San Basilio,La Fiesta Terminó
492,1985,MFÖ,Di Dai Di Dai Dai (Aşık oldum)
493,1985,Lia Vishy,To Katalava Arga
494,1985,Takis Biniaris,Miazoume
495,1985,Adelaïde,"Penso Em Ti, Eu Sei"
496,1985,Linda Lepomme,Laat Me Nu Gaan
497,1986,Sandra Kim,J'aime La Vie
498,1986,Daniela Simons,Pas Pour Moi
499,1986,Sherisse Laurence,L'amour De Ma Vie
500,1986,Luv Bug,You Can Count On Me
501,1986,Lasse Holm & Monica Törnell,E' De' Det Här Du Kallar Kärlek
502,1986,Lise Haavik and Trax,Du Er Fuld Af Løgn
503,1986,Ryder,Runner In The Night
504,1986,Ingrid Peters,Über Die Brücke Geh'n
505,1986,Klips ve Onlar,Halley
506,1986,Cadillac,Valentino
507,1986,Doris Dragović,Željo Moja
508,1986,Ketil Stokkan,Romeo
509,1986,Frizzle Sizzle,Alles Heeft Ritme
510,1986,Dora,Não Sejas Mau Para Mim
511,1986,Kari Kuivalainen,Päivä Kahden Ihmisen
512,1986,Icy,Gleðibankinn
513,1986,Cocktail Chic,Européennes
514,1986,Timna Brauer,Die Zeit Ist Einsam
515,1986,Moti Galadi and Sarai Tzuriel,Yavoh Yom
516,1986,Elpida,Tora Zo
517,1987,Johnny Logan,Hold Me Now
518,1987,Wind,Laß Die Sonne In Dein Herz
519,1987,Umberto Tozzi and Raf,Gente Di Mare
520,1987,Novi Fosili,Ja Sam Za Ples
521,1987,Marcha,Rechtop In De Wind
522,1987,Anne-Cathrine Herdorf,En Lille Melodi
523,1987,Alexia,Aspro Mavro
524,1987,Datner and Kushnir,Shir Habatlanim
525,1987,Kate Gulbrandsen,Mitt Liv
526,1987,Bang,Stop!
527,1987,Liliane Saint-Pierre,Soldiers Of Love
528,1987,Lotta Engberg,Boogaloo
529,1987,Rikki,Only The Light
530,1987,Christine Minier,Les Mots D'amour N'ont Pas De Dimanche
531,1987,Vicky Rosti,Sata Salamaa
532,1987,Halla Margarét,Hægt Og Hljótt
533,1987,Carole Rich,Moitié Moitié
534,1987,Nevada,Neste Barco à Vela
535,1987,Patricia Kraus,No Estás Solo
536,1987,Gary Lux,Nur Noch Gefühl
537,1987,Plastic Bertrand,Amour Amour
538,1987,Seyyal Tanner & Lokomotif,Şarkım sevgi üstüne
539,1988,Céline Dion,Ne Partez Pas Sans Moi
540,1988,Scott Fitzgerald,Go
541,1988,Kirsten & Søren,Ka' Du Se Hva' Jeg Sa'
542,1988,Lara Fabian,Croire
543,1988,Karoline Krüger,For Vår Jord
544,1988,Srebrna Krila,Mangup
545,1988,Yardena Arazi,Ben Adam
546,1988,Jump the Gun,Take Him Home
547,1988,Gerard Joling,Shangri-la
548,1988,Gérard Lenorman,Chanteur De Charme
549,1988,La Década,La Chica Que Yo Quiero (made In Spain)
550,1988,Tommy Körberg,Stad I Ljus
551,1988,Luca Barbarossa,Ti Scrivo
552,1988,Maxi and Chris Garden,Lied Für Einen Freund
553,1988,MFÖ,Sufi
554,1988,Beathoven,Sókrates
555,1988,Aphroditi Fryda,Kloun
556,1988,Reynaert,Laissez Briller Le Soleil
557,1988,Dora,Voltarei
558,1988,Boulevard,Nauravat Silmät Muistetaan
559,1988,Wilfried,Lisa Mona Lisa
560,1989,Riva,Rock Me
561,1989,Live Report,Why Do I Always Get It Wrong
562,1989,Birthe Kjær,Vi Maler Byen Rød
563,1989,Tommy Nilsson,En Dag
564,1989,Thomas Forstner,Nur Ein Lied
565,1989,Nina,Nacida Para Amar
566,1989,Anneli Saaristo,La Dolce Vita
567,1989,Nathalie Pâque,J'ai Volé La Vie
568,1989,Anna Oxa and Fausto Leali,Avrei Voluto
569,1989,Marianna,To Diko Sou Asteri
570,1989,Fanny Polymeri and Yiannis Savvidakis,Apopse As Vrethoume
571,1989,Gili & Galit,Derech Ha'melech
572,1989,Furbaz,Viver Senza Tei
573,1989,Nino de Angelo,Flieger
