year,to_country,song
1987,Luxembourg,Amour Amour
1987,Turkey,Şarkım sevgi üstüne
1988,Switzerland,Ne Partez Pas Sans Moi
1988,United Kingdom,Go
1988,Denmark,Ka' Du Se Hva' Jeg Sa'
1988,Luxembourg,Croire
1988,Norway,For Vår Jord
1988,Yugoslavia,Mangup
1988,Israel,Ben Adam
1988,Ireland,Take Him Home
1988,Netherlands,Shangri-la
1988,France,Chanteur De Charme
1988,Spain,La Chica Que Yo Quiero (made In Spain)
1988,Sweden,Stad I Ljus
1988,Italy,Ti Scrivo
1988,Germany,Lied Für Einen Freund
1988,Turkey,Sufi
1988,Iceland,Sókrates
1988,Greece,Kloun
1988,Belgium,Laissez Briller Le Soleil
1988,Portugal,Voltarei
1988,Finland,Nauravat Silmät Muistetaan
1988,Austria,Lisa Mona Lisa
1989,Yugoslavia,Rock Me
1989,United Kingdom,Why Do I Always Get It Wrong
1989,Denmark,Vi Maler Byen Rød
1989,Sweden,En Dag
1989,Austria,Nur Ein Lied
1989,Spain,Nacida Para Amar
1989,Finland,La Dolce Vita
1989,France,J'ai Volé La Vie
1989,Italy,Avrei Voluto
1989,Greece,To Diko Sou Asteri
1989,Cyprus,Apopse As Vrethoume
1989,Israel,Derech Ha'melech
1989,Switzerland,Viver Senza Tei
1989,Germany,Flieger
1989,Netherlands,Blijf Zoals Je Bent
1989,Portugal,Conquistador
1989,Norway,Venners Nærhet
1989,Ireland,The Real Me
1989,Belgium,Door De Wind
1989,Luxembourg,Monsieur
1989,Turkey,Bana Bana
1989,Iceland,Það Sem Enginn Sér
1990,Italy,Insieme: 1992
1990,France,White And Black Blues
1990,Ireland,Somewhere In Europe
1990,Iceland,Eitt Lag Enn
1990,Spain,Bandido
1990,United Kingdom,Give A Little Love Back To The World
1990,Yugoslavia,Hajde Da Ludujemo
1990,Denmark,Hallo Hallo
1990,Germany,Frei Zu Leben
1990,Austria,Keine Mauern Mehr
1990,Switzerland,Musik Klingt In Die Welt Hinaus
1990,Belgium,Macédomienne
1990,Luxembourg,Quand Je Te Rêve
1990,Cyprus,Milas Poli
1990,Netherlands,Ik Wil Alles Met Je Delen
1990,Sweden,Som En Vind
1990,Turkey,Gözlerinin Hapsindeyim
1990,Israel,Shara Barechovot
1990,Greece,Horis Skopo
1990,Portugal,Há Sempre Alguém
1990,Norway,Brandenburger Tor
1990,Finland,Fri?
1991,Sweden,Fångad Av En Stormvind
1991,France,C'est Le Dernier Qui A Parlé Qui A Raison
1991,Israel,Kan
1991,Spain,Bailar Pegados
1991,Switzerland,Canzone Per Te
1991,Malta,Could It Be
1991,Italy,Comme E' Ddoce 'o Mare
1991,Portugal,Lusitana Paixão
1991,Cyprus,S.O.S.
1991,Ireland,Could It Be That I'm In Love
1991,United Kingdom,A Message To Your Heart
1991,Turkey,Iki Dakika
1991,Greece,I Anixi
1991,Luxembourg,Un Baiser Volé
1991,Iceland,Nina
1991,Belgium,Geef Het Op
1991,Norway,Mrs. Thompson
1991,Germany,Dieser Traum Darf Niemals Sterben
1991,Denmark,Lige Der Hvor Hjertet Slår
1991,Finland,Hullu Yö
1991,Yugoslavia,Brazil
1991,Austria,Venedig Im Regen
1992,Ireland,Why Me
1992,United Kingdom,One Step Out Of Time
1992,Malta,Little Child
1992,Italy,Rapsodia
1992,Greece,Olou Tou Kosmou tin Elpida
1992,Israel,Ze Rak Sport
1992,Iceland,Nei Eða Já
1992,France,Monté La Riviè
1992,Netherlands,Wijs Me De Weg
1992,Austria,Zusammen Geh'n
1992,Cyprus,Teriazoume
1992,Denmark,Alt Det Som Ingen Ser
1992,Yugoslavia,Ljubim Te Pesmama
1992,Spain,Todo Esto Es La Música
1992,Switzerland,Mister Music Man
1992,Germany,Träume Sind Für Alle Da
1992,Portugal,Amor D'água Fresca
1992,Norway,Visjoner
1992,Turkey,Yaz Bitti
1992,Belgium,Nous On Veut Des Violons
1992,Luxembourg,Sou Fräi
1992,Sweden,I Morgon är En Annan Dag
1992,Finland,Yamma Yamma
1993,Ireland,In Your Eyes
1993,United Kingdom,Better The Devil You Know
1993,Switzerland,Moi Tout Simplement
1993,France,Mama Corsica
1993,Norway,Alle Mine Tankar
1993,Netherlands,Vrede
1993,Sweden,Eloïse
1993,Malta,This Time
1993,Greece,Ellada Hora Tou Fotos
1993,Portugal,A Cidade Até Ser Dia
1993,Spain,Hombres
1993,Italy,Sole D'europa
1993,Iceland,þá Veistu Svarið
1993,Austria,Maria Magdalena
1993,Croatia,Don't Ever Cry
1993,Bosnia & Herzegovina,Sva Bol Svijeta
1993,Finland,Tule Luo
1993,Germany,Viel Zu Weit
1993,Cyprus,Mi Stamatas
1993,Luxembourg,Donne-moi Une Chance
1993,Turkey,Esmer Yarim
1993,Denmark,Under Stjernerne På Himlen
1993,Slovenia,Tih Dezeven Dan
1993,Israel,Shiru
1993,Belgium,Iemand Als Jij
1994,Ireland,Rock 'n' Roll Kids
1994,Poland,To Nie Ja!
1994,Germany,Wir Geben 'ne Party
1994,Hungary,Kinek Mondjam El Vétkeimet
1994,Malta,More Than Love
1994,Norway,Duett
1994,France,Je Suis Un Vrai Garçon
1994,Portugal,Chamar A Música
1994,Russia,Vechni Stranik
1994,United Kingdom,We Will Be Free (lonely Symphony)
1994,Cyprus,Ime Anthropos Ke Ego
1994,Iceland,Nætur
1994,Sweden,Stjärnorna
1994,Greece,To Trehantiri
1994,Bosnia & Herzegovina,Ostani Kraj Mene
1994,Croatia,Nek'ti Bude Ljubav Sva
1994,Austria,Für Den Frieden Der Welt
1994,Spain,Ella No Es Ella
1994,Switzerland,Sto Pregando
1994,Slovakia,Nekovecná Piesen
1994,Romania,Dincolo De Nori
1994,Finland,Bye Bye Baby
1994,Netherlands,Waar Is De Zon
1994,Estonia,Nagu Merelaine
1994,Lithuania,Lopšinė mylimai
1995,Norway,Nocturne
1995,Spain,Vuelve Conmigo
1995,Sweden,Se På Mej
1995,France,Il Me Donne Rendez-vous
1995,Denmark,Fra Mols Til Skagen
1995,Croatia,Nostalgija
1995,Slovenia,Prisluhni Mi
1995,Israel,Amen
1995,Cyprus,Sti Fotia
1995,United Kingdom,nan
1995,Malta,Keep Me In Mind
1995,Greece,Pia Prosefhi
1995,Austria,Die Welt Dreht Sich Verkehrt
1995,Ireland,Dreamin'
1995,Iceland,Núna
1995,Turkey,Sev!
1995,Russia,Kolybelnaya Dlya Vulkana
1995,Poland,Sama
1995,Bosnia & Herzegovina,Dvadeset I Prvi Vijek
1995,Belgium,La Voix Est Libre
1995,Portugal,Baunilha E Chocolate
1995,Hungary,Ùj Nèv Egy Règi Hàz Fàlan
1995,Germany,Verliebt In Dich
1996,Ireland,The Voice
1996,Norway,I Evighet
1996,Sweden,Den Vilda
1996,Croatia,Sveta Ljubav
1996,Estonia,Kaelakee Hääl
