,year,to_country,performer,song,place_final,points_final
302,1975,Belgium,Ann Christy,Gelukkig Zijn,15.0,17.0
303,1975,Portugal,Duarte Mendes,Madrugada,16.0,16.0
304,1975,Germany,Joy Fleming,Ein Lied Kann Eine Brücke Sein,17.0,15.0
305,1975,Norway,Ellen Nikolaysen,You Touched My Life With Summer,18.0,11.0
306,1975,Turkey,Semiha Yanki,Seninle Bir Dakika,19.0,3.0
307,1976,United Kingdom,Brotherhood of Man,Save Your Kisses For Me,1.0,164.0
308,1976,France,Catherine Ferry,"Un, Deux, Trois",2.0,147.0
309,1976,Monaco,Mary Christy,"Toi, La Musique Et Moi",3.0,93.0
310,1976,Switzerland,"Peter, Sue and Marc","Djambo, Djambo",4.0,91.0
311,1976,Austria,Waterloo and Robinson,My Little World,5.0,80.0
312,1976,Israel,"Chocolate, Menta, Mastik",Emor Shalom,6.0,77.0
313,1976,Italy,Romina and Al Bano,We'll Live It All Again,7.0,69.0
314,1976,Belgium,Pierre Rapsat,Judy Et Cie.,8.0,68.0
315,1976,Netherlands,Sandra Reemer,The Party's Over Now,9.0,56.0
316,1976,Ireland,Red Hurley,When,10.0,54.0
317,1976,Finland,Fredi and The Friends,Pump-pump,11.0,44.0
318,1976,Portugal,Carlos do Carmo,Uma Flor De Verde Pinho,12.0,24.0
319,1976,Greece,Mariza Koch,"Panaghia Mou, Panaghia Mou",13.0,20.0
320,1976,Luxembourg,Jürgen Marcus,Chansons Pour Ceux Qui S'aiment,14.0,17.0
321,1976,Germany,Les Humphries Singers,"Sing, Sang, Song",15.0,12.0
322,1976,Spain,Braulio,Sobran Las Palabras,16.0,11.0
323,1976,Yugoslavia,Ambasadori,Ne Mogu Skriti Svoju Bol,17.0,10.0
324,1976,Norway,Anne-Karine Ström,Mata Hari,18.0,7.0
325,1977,France,Marie Myriam,L'oiseau Et L'enfant,1.0,136.0
326,1977,United Kingdom,Lynsey de Paul and Mike Moran,Rock Bottom,2.0,121.0
327,1977,Ireland,The Swarbriggs Plus Two,It's Nice To Be In Love Again,3.0,119.0
328,1977,Monaco,Michèle Torr,Une Petite Française,4.0,96.0
329,1977,Greece,"Pascalis, Marianna, Robert and Bessy",Mathima Solfez,5.0,92.0
330,1977,Switzerland,Pepe Lienhard Band,Swiss Lady,6.0,71.0
331,1977,Belgium,Dream Express,"A Million In One, Two, Three",7.0,69.0
332,1977,Germany,Silver Convention,Telegram,8.0,55.0
333,1977,Spain,Micky,Enseñame A Cantar,9.0,52.0
334,1977,Finland,Monica Aspelund,Lapponia,10.0,50.0
335,1977,Israel,Ilanit,Ah-haa-vah Hee Shir Lish-naa-yim,11.0,49.0
336,1977,Netherlands,Heddy Lester,De Mallemolen,12.0,35.0
337,1977,Italy,Mia Martini,Liberà,13.0,33.0
338,1977,Norway,Anita Skorgan,Casanova,14.0,18.0
339,1977,Portugal,Os Amigos,Portugal No Coração,14.0,18.0
340,1977,Luxembourg,Anne Marie B.,Frère Jacques,16.0,17.0
341,1977,Austria,Schmetterlinge,Boom Boom Boomerang,17.0,11.0
342,1977,Sweden,Forbes,Beatles,18.0,2.0
343,1978,Israel,Izhar Cohen and the Alphabeta,A-Ba-Ni-Bi,1.0,157.0
344,1978,Belgium,Jean Vallée,L'amour ça Fait Chanter La Vie,2.0,125.0
345,1978,France,Joël Prévost,Il Y Aura Toujours Des Violons,3.0,119.0
346,1978,Monaco,Caline and Olivier Toussaint,Les Jardins De Monaco,4.0,107.0
347,1978,Ireland,Colm T. Wilkinson,Born To Sing,5.0,86.0
348,1978,Germany,Ireen Sheer,Feuer,6.0,84.0
349,1978,Luxembourg,Baccara,Parlez-vous Français?,7.0,73.0
350,1978,Greece,Tania Tsanaklidou,Charlie Chaplin,8.0,66.0
351,1978,Spain,José Vélez,Bailemos Un Vals,9.0,65.0
352,1978,Switzerland,Carole Vinci,Vivre,9.0,65.0
353,1978,United Kingdom,Co-Co,The Bad Old Days,11.0,61.0
354,1978,Italy,Ricchi e Poveri,Questo Amore,12.0,53.0
355,1978,Netherlands,Harmony,'t Is Ok,13.0,37.0
356,1978,Sweden,Björn Skifs,Det Blir Alltid Värre Framåt Natten,14.0,26.0
357,1978,Austria,Springtime,Mrs. Caroline Robinson,15.0,14.0
358,1978,Denmark,Mabel,Boom Boom,16.0,13.0
359,1978,Portugal,Gemini,Dai-li-dou,17.0,5.0
360,1978,Finland,Seija Simola,Anna Rakkaudelle Tilaisuus,18.0,2.0
361,1978,Turkey,Nazar,Sevince,18.0,2.0
362,1978,Norway,Jahn Teigen,Mil Etter Mil,20.0,0.0
363,1979,Israel,Milk and Honey,Hallelujah,1.0,125.0
364,1979,Spain,Betty Missiego,Su Canción,2.0,116.0
365,1979,France,Anne-Marie David,Je Suis L'enfant-soleil,3.0,106.0
366,1979,Germany,Dschinghis Khan,,4.0,86.0
367,1979,Ireland,Cathal Dunne,Happy Man,5.0,80.0
368,1979,Denmark,Tommy Seebach,Disco Tango,6.0,76.0
369,1979,United Kingdom,Black Lace,Mary Ann,7.0,73.0
